LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L190127 L1L2,L190127 L3L4,L190127 L5S1,L191953 L1L2,L191953 L3L4,L191953 L5S1,S183028 L1L2,S183028 L3L4,S183028_L5S1,S191445 L1L2,S191445 L3L4,S191445 L5S1,S192868 L1l2,S192868 L3L4,S192868 L5S1,S193211 L1L2,S193211 L3L4,S193211 L5S1,S193333 L1L2,S193333 L3L4,S193333_L5S1,S193688 L1L2,S193688 L3L4,S193688 L5S1,S200063 L1L2,S200063 L3L4,S200063 L5S1,S200092 L1L2,S200092 L3L4,S200092 L5S1,S200397 L1L2,S200397 L3L4,S200397 L5S1,S200463 L1L2,S200463 L3L4,S200463 L5S1
Uninstrumented,0.5823,2.6565,2.0754,0.73225,2.4005,2.62,0.60868,1.0524,1.747,1.1517,1.3583,1.6506,0.62752,2.145,2.4095,0.57438,0.91267,0.74024,1.7448,3.3291,1.2833,1.6595,1.463,3.3326,1.0087,1.7896,3.2511,1.5164,1.2835,0.60026,2.2549,2.1519,1.4119,0.69581,1.3167,1.8711
Instrumented,0.56873,2.2911,2.0489,0.67991,1.7159,1.2644,0.5485,0.74838,1.0013,0.92711,0.84575,1.0021,0.60049,1.3673,1.2926,0.52154,0.87319,0.6715,1.7668,2.4059,0.96254,1.7973,1.2182,2.3156,1.0282,1.2038,1.5758,1.2124,1.0657,0.582,1.534,1.2295,1.0588,0.6091,0.984,1.0638
Crosslink,0.53636,2.3937,1.8272,0.72085,1.9054,1.2527,0.53116,0.71019,1.0597,0.9504,0.78383,1.0211,0.58127,1.3573,1.2399,0.53338,0.84539,0.60933,1.8367,2.8395,0.94864,1.8036,1.2749,2.1704,1.0148,1.2554,1.5825,1.2461,0.87044,0.5861,1.6657,1.1562,0.9189,0.59245,0.91323,1.0725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microdecompression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L190127 L1L2,L190127 L3L4,L190127 L5S1,L191953 L1L2,L191953 L3L4,L191953 L5S1,S183028 L1L2,S183028 L3L4,S183028_L5S1,S191445 L1L2,S191445 L3L4,S191445 L5S1,S192868 L1l2,S192868 L3L4,S192868 L5S1,S193211 L1L2,S193211 L3L4,S193211 L5S1,S193333 L1L2,S193333 L3L4,S193333_L5S1,S193688 L1L2,S193688 L3L4,S193688 L5S1,S200063 L1L2,S200063 L3L4,S200063 L5S1,S200092 L1L2,S200092 L3L4,S200092 L5S1,S200397 L1L2,S200397 L3L4,S200397 L5S1,S200463 L1L2,S200463 L3L4,S200463 L5S1
Uninstrumented,0.79954,3.0747,2.4728,0.89274,2.7265,2.7023,0.67078,1.0717,1.925,1.2778,1.4183,1.7054,0.67387,2.2869,2.4518,0.61185,1.2144,0.76601,2.1966,4.3188,1.3101,1.4482,1.6526,3.5461,1.1504,2.036,3.4501,0.63632,1.2925,0.66912,2.5784,2.8016,1.5774,0.78984,1.4428,2.1489
Instrumented,0.66119,2.6186,2.2129,0.75114,2.2033,1.2251,0.5622,0.73483,1.0737,0.94193,0.96125,1.2799,0.74209,1.2651,1.3535,0.60246,0.91229,0.74966,2.014,3.4449,0.96657,1.522,1.283,2.7777,1.0265,1.2667,1.6898,0.61554,1.2516,0.60243,2.012,1.2099,1.2768,0.67034,1.0659,1.3893
Crosslink,0.63999,2.6965,2.2453,0.71209,2.1981,1.1563,0.56136,0.70603,1.0427,0.97977,0.94021,1.2494,0.70056,1.2544,1.3011,0.63525,0.90353,0.7316,2.0982,3.5232,0.97995,1.4392,1.2934,2.675,1.0194,1.2442,1.5582,0.56991,1.2124,0.60439,2.075,1.2806,1.009,0.67266,1.0515,1.2046
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midline_Laminectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L190127 L1L2,L190127 L3L4,L190127 L5S1,L191953 L1L2,L191953 L3L4,L191953 L5S1,S183028 L1L2,S183028 L3L4,S183028_L5S1,S191445 L1L2,S191445 L3L4,S191445 L5S1,S192868 L1l2,S192868 L3L4,S192868 L5S1,S193211 L1L2,S193211 L3L4,S193211 L5S1,S193333 L1L2,S193333 L3L4,S193333_L5S1,S193688 L1L2,S193688 L3L4,S193688 L5S1,S200063 L1L2,S200063 L3L4,S200063 L5S1,S200092 L1L2,S200092 L3L4,S200092 L5S1,S200397 L1L2,S200397 L3L4,S200397 L5S1,S200463 L1L2,S200463 L3L4,S200463 L5S1
Uninstrumented,0.92433,3.2151,2.9504,0.98215,2.8633,2.8863,0.71265,1.1642,1.8944,1.4243,1.5311,1.7683,0.79419,2.305,2.5805,0.69271,1.4245,0.72784,2.4465,4.857,1.351,1.6677,1.804,3.8378,1.2699,2.2905,3.7566,0.75042,1.5522,0.67038,2.9906,3.079,1.7562,0.88256,1.4955,2.5571
Instrumented,0.77098,2.6431,2.4657,0.81363,2.1033,1.4526,0.56164,0.74619,1.0937,1.0264,0.99241,1.2226,0.71194,1.2827,1.4234,0.61109,0.92665,0.71354,2.2995,3.3585,0.9771,1.6445,1.344,2.9654,1.0492,1.3474,1.8027,0.70851,1.3376,0.64301,2.2599,1.4559,1.3119,0.73849,1.1376,1.7052
Crosslink,0.72669,2.8379,2.4686,0.82845,2.1247,1.4113,0.57541,0.73256,1.0956,0.9985,0.98192,1.1263,0.70628,1.3081,1.4238,0.5881,0.9131,0.78544,2.3089,3.2565,0.91987,1.6417,1.3923,3.0553,1.0413,1.2982,1.7134,0.70442,1.3219,0.65203,2.4049,1.446,1.2866,0.71016,1.1043,1.4201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLIF_Unilateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
